participant_id,date,time,sensor,device_token,value,device_type,page,message,user_agent,type,activity
U3884527492,2026-03-02,10:17:08,lamp.analytics,,,,assess,,,open_page,
U3884527492,2026-03-02,10:17:05,lamp.analytics,,,,assess,,,open_page,
U3884527492,2026-03-02,10:17:05,lamp.analytics,339c48be4b4d051c29152313746da110a2b90561a2f06b161bae8d7929eab75e,,iOS,,,"NativeCore 2023.5.2; iOS 26.2.1; iPhone iPhone17,3",login,
U3884527492,2026-03-02,10:13:53,lamp.analytics,,,,,,,open_page,
U3884527492,2026-03-02,10:13:44,lamp.analytics,,1,iOS,,,"NativeCore 2023.5.2; iOS 26.2.1; iPhone iPhone17,3",lowpowermode,
U3884527492,2026-03-02,10:13:42,lamp.analytics,,,,assess,,,open_page,
U3884527492,2026-03-02,10:13:42,lamp.analytics,,,,assess,,,open_page,
U3884527492,2026-03-02,10:13:36,lamp.analytics,,,,assess,,,open_page,d7692rcc3braz0e419kn
U3884527492,2026-03-02,10:13:08,lamp.analytics,,,,assess,,,open_page,
U3884527492,2026-03-02,10:13:07,lamp.analytics,,,,feed,,,open_page,
U3884527492,2026-03-02,10:13:02,lamp.analytics,,,,assess,,,open_page,
U3884527492,2026-03-02,10:13:02,lamp.analytics,,,,assess,,,open_page,
U3884527492,2026-03-02,10:12:56,lamp.analytics,,,,assess,,,open_page,wxfece0ttv3ed74b8a8t
U3884527492,2026-03-02,10:12:49,lamp.analytics,,,,assess,,,open_page,
U3884527492,2026-03-02,10:12:48,lamp.analytics,,,,assess,,,open_page,
U3884527492,2026-03-02,10:12:43,lamp.analytics,,,,assess,,,open_page,378ahcyzn9s6cx78p9xk
U3884527492,2026-03-02,10:12:20,lamp.analytics,,,,assess,,,open_page,
U3884527492,2026-03-02,10:12:19,lamp.analytics,,,,assess,,,open_page,
U3884527492,2026-03-02,10:12:14,lamp.analytics,,,,assess,,,open_page,bkn099zaq4pvqnzzn9mb
U3884527492,2026-03-02,10:12:01,lamp.analytics,,,,assess,,,open_page,
U3884527492,2026-03-02,10:12:01,lamp.analytics,,,,assess,,,open_page,
U3884527492,2026-03-02,10:12:00,lamp.analytics,339c48be4b4d051c29152313746da110a2b90561a2f06b161bae8d7929eab75e,,iOS,,,"NativeCore 2023.5.2; iOS 26.2.1; iPhone iPhone17,3",login,
U3884527492,2026-03-01,10:12:55,lamp.analytics,,,iOS,,GPS Failed: L’opération n’a pas pu s’achever. (kCLErrorDomain erreur 0.),"NativeCore 2023.5.2; iOS 26.2.1; iPhone iPhone17,3",log,
U3884527492,2026-03-01,09:53:36,lamp.analytics,,,iOS,,GPS Failed: L’opération n’a pas pu s’achever. (kCLErrorDomain erreur 0.),"NativeCore 2023.5.2; iOS 26.2.1; iPhone iPhone17,3",log,
U3884527492,2026-03-01,09:34:01,lamp.analytics,,,iOS,,GPS Failed: L’opération n’a pas pu s’achever. (kCLErrorDomain erreur 0.),"NativeCore 2023.5.2; iOS 26.2.1; iPhone iPhone17,3",log,
U3884527492,2026-03-01,09:18:05,lamp.analytics,,,iOS,,GPS Failed: L’opération n’a pas pu s’achever. (kCLErrorDomain erreur 0.),"NativeCore 2023.5.2; iOS 26.2.1; iPhone iPhone17,3",log,
U3884527492,2026-03-01,09:02:55,lamp.analytics,,,iOS,,GPS Failed: L’opération n’a pas pu s’achever. (kCLErrorDomain erreur 0.),"NativeCore 2023.5.2; iOS 26.2.1; iPhone iPhone17,3",log,
U3884527492,2026-03-01,08:44:46,lamp.analytics,,,iOS,,GPS Failed: L’opération n’a pas pu s’achever. (kCLErrorDomain erreur 0.),"NativeCore 2023.5.2; iOS 26.2.1; iPhone iPhone17,3",log,
